SampleID	SampleType	Class
sample_1	sample_1	QC	QC
sample_2	sample_2	Sample	GC
sample_3	sample_3	Sample	BN
sample_4	sample_4	Sample	HE
sample_5	sample_5	Sample	GC
sample_6	sample_6	Sample	BN
sample_7	sample_7	Sample	GC
sample_8	sample_8	Sample	HE
sample_9	sample_9	Sample	GC
sample_10	sample_10	QC	QC
sample_11	sample_11	Sample	BN
sample_12	sample_12	Sample	HE
sample_13	sample_13	Sample	GC
sample_14	sample_14	Sample	BN
sample_15	sample_15	Sample	HE
sample_16	sample_16	Sample	GC
sample_17	sample_17	Sample	BN
sample_18	sample_18	Sample	HE
sample_19	sample_19	QC	QC
sample_20	sample_20	Sample	GC
sample_21	sample_21	Sample	BN
sample_22	sample_22	Sample	HE
sample_23	sample_23	Sample	GC
sample_24	sample_24	Sample	BN
sample_25	sample_25	Sample	HE
sample_26	sample_26	Sample	GC
sample_27	sample_27	Sample	BN
sample_28	sample_28	QC	QC
sample_29	sample_29	Sample	HE
sample_30	sample_30	Sample	GC
sample_31	sample_31	Sample	BN
sample_32	sample_32	Sample	HE
sample_33	sample_33	Sample	GC
sample_34	sample_34	Sample	BN
sample_35	sample_35	Sample	HE
sample_36	sample_36	Sample	GC
sample_37	sample_37	QC	QC
sample_38	sample_38	Sample	BN
sample_39	sample_39	Sample	HE
sample_40	sample_40	Sample	GC
sample_41	sample_41	Sample	BN
sample_42	sample_42	Sample	HE
sample_43	sample_43	Sample	GC
sample_44	sample_44	Sample	BN
sample_45	sample_45	Sample	HE
sample_46	sample_46	QC	QC
sample_47	sample_47	Sample	GC
sample_48	sample_48	Sample	BN
sample_49	sample_49	Sample	HE
sample_50	sample_50	Sample	GC
sample_51	sample_51	Sample	BN
sample_52	sample_52	Sample	HE
sample_53	sample_53	Sample	GC
sample_54	sample_54	Sample	BN
sample_55	sample_55	QC	QC
sample_56	sample_56	Sample	HE
sample_57	sample_57	Sample	GC
sample_58	sample_58	Sample	GC
sample_59	sample_59	Sample	BN
sample_60	sample_60	Sample	HE
sample_61	sample_61	Sample	GC
sample_62	sample_62	Sample	BN
sample_63	sample_63	Sample	HE
sample_64	sample_64	QC	QC
sample_65	sample_65	Sample	GC
sample_66	sample_66	Sample	BN
sample_67	sample_67	Sample	HE
sample_68	sample_68	Sample	GC
sample_69	sample_69	Sample	BN
sample_70	sample_70	Sample	HE
sample_71	sample_71	Sample	GC
sample_72	sample_72	Sample	BN
sample_73	sample_73	QC	QC
sample_74	sample_74	Sample	HE
sample_75	sample_75	Sample	GC
sample_76	sample_76	Sample	BN
sample_77	sample_77	Sample	HE
sample_78	sample_78	Sample	GC
sample_79	sample_79	Sample	BN
sample_80	sample_80	Sample	HE
sample_81	sample_81	Sample	GC
sample_82	sample_82	QC	QC
sample_83	sample_83	Sample	BN
sample_84	sample_84	Sample	HE
sample_85	sample_85	Sample	GC
sample_86	sample_86	Sample	BN
sample_87	sample_87	Sample	HE
sample_88	sample_88	Sample	GC
sample_89	sample_89	Sample	BN
sample_90	sample_90	Sample	HE
sample_91	sample_91	QC	QC
sample_92	sample_92	Sample	GC
sample_93	sample_93	Sample	BN
sample_94	sample_94	Sample	HE
sample_95	sample_95	Sample	GC
sample_96	sample_96	Sample	BN
sample_97	sample_97	Sample	HE
sample_98	sample_98	Sample	GC
sample_99	sample_99	Sample	BN
sample_100	sample_100	QC	QC
sample_101	sample_101	Sample	HE
sample_102	sample_102	Sample	GC
sample_103	sample_103	Sample	BN
sample_104	sample_104	Sample	HE
sample_105	sample_105	Sample	GC
sample_106	sample_106	Sample	GC
sample_107	sample_107	Sample	BN
sample_108	sample_108	Sample	HE
sample_109	sample_109	QC	QC
sample_110	sample_110	Sample	GC
sample_111	sample_111	Sample	BN
sample_112	sample_112	Sample	HE
sample_113	sample_113	Sample	GC
sample_114	sample_114	Sample	BN
sample_115	sample_115	Sample	HE
sample_116	sample_116	Sample	GC
sample_117	sample_117	Sample	BN
sample_118	sample_118	QC	QC
sample_119	sample_119	Sample	HE
sample_120	sample_120	Sample	GC
sample_121	sample_121	Sample	BN
sample_122	sample_122	Sample	HE
sample_123	sample_123	Sample	GC
sample_124	sample_124	Sample	BN
sample_125	sample_125	Sample	HE
sample_126	sample_126	Sample	GC
sample_127	sample_127	QC	QC
sample_128	sample_128	Sample	BN
sample_129	sample_129	Sample	HE
sample_130	sample_130	Sample	GC
sample_131	sample_131	Sample	BN
sample_132	sample_132	Sample	HE
sample_133	sample_133	Sample	GC
sample_134	sample_134	Sample	BN
sample_135	sample_135	Sample	HE
sample_136	sample_136	QC	QC
sample_137	sample_137	Sample	GC
sample_138	sample_138	Sample	BN
sample_139	sample_139	Sample	HE
sample_140	sample_140	QC	QC
